INSTANCE:	B-n38-k12
VEHICLES:	12
CUSTOMERS:	38
TIME UB:	900
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	      2		     95		       5	        0	   900
       1	      9		     95		       5	        0	   900
       2	      0		     51		       4	        0	   900
       3	     13		     19		       5	        1	    64
       4	     92		     35		       4	        1	    62
       5	    101		      8		       5	        0	   900
       6	     95		     87		       4	        0	   900
       7	      9		     95		       4	        3	    78
       8	     99		     38		       4	        1	    66
       9	      3		     91		       5	        1	    82
      10	     97		     93		       4	        0	   900
      11	    103		     54		       5	        2	    89
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     53		     55		     0		   900
       1	      1		     90		     2		   165
       2	     94		     85		     1		   195
       3	     97		     45		     2		   100
       4	     78		     69		     1		    70
       5	     98		     36		     1		   153
       6	     99		      0		     3		   233
       7	      2		     94		     1		   206
       8	     85		     77		     1		   115
       9	     94		     42		     1		   100
      10	    101		      3		     1		   182
      11	    103		     51		     2		   105
      12	    106		     38		     1		   183
      13	     88		     71		     2		   112
      14	     83		     77		     3		   126
      15	    100		     55		     1		   130
      16	     17		     23		     3		    99
      17	      6		     91		     1		   134
      18	      9		    102		     2		   190
      19	      9		     95		     1		   130
      20	      8		    104		     2		   171
      21	      9		     99		     1		   246
      22	     98		     39		     1		   146
      23	      3		    103		     2		   249
      24	    101		      7		     1		   171
      25	    103		      8		     1		   223
      26	     20		     25		     2		   151
      27	     81		     70		     1		    91
      28	    103		      7		     4		   219
      29	    102		     54		     2		   190
      30	     83		     72		     3		   106
      31	    101		     10		     1		   207
      32	    105		     48		     2		   124
      33	     96		     40		     1		   147
      34	      5		     91		     2		   215
      35	      9		     96		     1		   153
      36	     10		    100		     1		   147
      37	      9		     96		     1		   188
      38	     22		     21		     2		   119
