INSTANCE:	V3_C8
VEHICLES:	3
CUSTOMERS:	8
TIME UB:	7072
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    808		    469		       4	        1	   526
       1	    515		    630		       4	        1	  1279
       2	    286		    980		       4	        3	  1960
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    805		     22		     0		  7072
       1	     53		    278		     1		  2259
       2	    383		    571		     1		  1464
       3	    408		    131		     1		   986
       4	     45		      1		     1		  1997
       5	     48		    148		     1		  1912
       6	   1000		    191		     1		   688
       7	    653		    751		     1		  1994
       8	    234		    282		     1		  1670
