INSTANCE:	X-n213-k70
VEHICLES:	70
CUSTOMERS:	213
TIME UB:	8291
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    320		    800		       5	        2	   371
       1	    337		    505		       5	        0	  8291
       2	    542		    420		       4	        0	  8291
       3	     59		    278		       5	        1	   860
       4	    369		    618		       4	        0	  8291
       5	    252		    426		       5	        3	   585
       6	     51		    527		       4	        1	  1058
       7	    428		    484		       5	        1	   664
       8	      9		    520		       5	        0	  8291
       9	    163		    342		       4	        1	  1336
      10	    455		    508		       4	        0	  8291
      11	     47		    409		       5	        0	  8291
      12	     70		    417		       4	        1	  1102
      13	    306		    655		       5	        1	   547
      14	    329		    614		       5	        0	  8291
      15	    691		    499		       5	        1	   651
      16	    217		    375		       4	        1	   885
      17	    602		    440		       4	        0	  8291
      18	    112		    456		       4	        2	   873
      19	    530		    483		       4	        1	   580
      20	     26		    447		       4	        1	  1001
      21	    380		    586		       5	        0	  8291
      22	      1		    296		       5	        2	  1590
      23	    314		    568		       4	        0	  8291
      24	    589		    420		       4	        0	  8291
      25	    501		    579		       4	        0	  8291
      26	    140		    498		       5	        2	  1242
      27	    453		    582		       4	        0	  8291
      28	    176		    482		       5	        1	   675
      29	    502		    494		       5	        2	   637
      30	    192		    450		       5	        1	   768
      31	    537		    541		       4	        0	  8291
      32	    543		    466		       4	        0	  8291
      33	    343		    673		       4	        1	   597
      34	     39		    640		       4	        2	   748
      35	    504		    517		       4	        0	  8291
      36	    264		    387		       4	        0	  8291
      37	    658		    301		       4	        0	  8291
      38	    528		    588		       4	        0	  8291
      39	    350		    606		       5	        1	   690
      40	    589		    589		       4	        0	  8291
      41	    264		    757		       4	        1	   434
      42	     26		    200		       4	        0	  8291
      43	    678		    518		       4	        0	  8291
      44	    130		    376		       5	        2	  1339
      45	    242		    429		       4	        2	   965
      46	    428		    346		       5	        0	  8291
      47	    499		    331		       4	        2	   589
      48	    225		    722		       5	        0	  8291
      49	    612		    434		       4	        1	   713
      50	    549		    449		       5	        3	   474
      51	    548		    588		       4	        1	   393
      52	    326		    459		       4	        0	  8291
      53	    208		    380		       5	        0	  8291
      54	    183		    642		       4	        2	   602
      55	    103		    480		       5	        1	   722
      56	    482		    542		       4	        0	  8291
      57	    531		    492		       5	        0	  8291
      58	    371		    795		       5	        0	  8291
      59	    168		    292		       5	        1	  1441
      60	     56		    354		       4	        0	  8291
      61	    382		    645		       5	        2	   518
      62	    170		    446		       4	        2	  1188
      63	     76		    376		       4	        0	  8291
      64	     45		    851		       4	        0	  8291
      65	    625		    525		       4	        1	   607
      66	    204		    742		       4	        2	   759
      67	     21		    277		       4	        1	  1654
      68	     22		    705		       4	        1	  1248
      69	    398		    657		       5	        1	   578
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    674		    825		     0		  8291
       1	    549		    534		     2		   846
       2	     43		    315		     1		  2674
       3	     45		    580		     3		  1696
       4	    180		    450		     2		  2353
       5	    287		    721		     3		   950
       6	     36		    426		     4		  2251
       7	    411		    408		     2		  1702
       8	     21		    333		     1		  3102
       9	     37		    428		     1		  1714
      10	    617		    456		     2		  1146
      11	     52		    527		     4		  2247
      12	    114		    227		     1		  2266
      13	     32		    303		     2		  2632
      14	    233		    638		     1		  1086
      15	    290		    736		     1		  1504
      16	    317		    699		     2		  1093
      17	    676		    992		     1		   529
      18	    128		    446		     1		  1917
      19	     34		    302		     1		  1751
      20	    152		    660		     1		  1622
      21	    550		    576		     1		   648
      22	    559		    585		     2		  1062
      23	    183		    449		     1		  2094
      24	    726		    399		     1		  1117
      25	    306		    679		     3		  1576
      26	    128		    317		     1		  2006
      27	    547		    726		     5		   549
      28	    242		    389		     2		  2334
      29	    347		    595		     1		  1069
      30	    324		    384		     1		  1331
      31	    197		    495		     1		  1944
      32	     20		    321		     1		  1884
      33	     66		    402		     3		  2777
      34	    100		    638		     4		  2285
      35	    120		    514		     1		  1625
      36	    311		    449		     2		  1933
      37	    350		    574		     2		   857
      38	    198		    437		     1		  1767
      39	    370		    722		     1		   790
      40	    513		    438		     3		   848
      41	    273		    645		     3		  1675
      42	      6		    508		     3		  1923
      43	     44		    581		     1		  1787
      44	    309		    763		     1		   985
      45	     18		    616		     4		  2244
      46	    128		    603		     1		  2097
      47	    687		    466		     2		  1049
      48	     54		    449		     2		  2033
      49	    592		    375		     1		  1288
      50	     49		    401		     3		  2723
      51	    638		    459		     2		   760
      52	    657		    416		     1		  1415
