INSTANCE:	A-n51-k17
VEHICLES:	17
CUSTOMERS:	51
TIME UB:	832
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     94		     54		       5	        1	    41
       1	     87		      9		       4	        0	   832
       2	     23		     84		       5	        0	   832
       3	     20		     21		       4	        2	    68
       4	     58		     50		       4	        1	     9
       5	     11		     57		       4	        1	    92
       6	     28		     50		       4	        2	    32
       7	     40		     98		       5	        3	    57
       8	      9		     92		       5	        1	    74
       9	     11		      8		       5	        2	    73
      10	     43		     59		       4	        4	    33
      11	     94		     87		       5	        2	   109
      12	      5		     78		       5	        1	    83
      13	     14		      9		       5	        1	    82
      14	      4		     44		       5	        1	    77
      15	     82		     13		       4	        0	   832
      16	     87		     47		       5	        0	   832
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     59		     44		     0		   832
       1	      9		     23		     1		   202
       2	     84		     68		     1		    83
       3	     36		     93		     2		   147
       4	     34		     16		     2		   117
       5	     72		     43		     5		    45
       6	      0		     60		     1		   150
       7	     64		     90		     3		   156
       8	     46		      7		     2		    92
       9	     33		     54		     1		    67
      10	     67		     18		     1		    96
      11	     34		     93		     2		   119
      12	     19		     25		     1		   125
      13	     70		     64		     5		    57
      14	     95		     39		     1		   107
      15	     38		     54		     4		    69
      16	     50		     73		     1		   109
      17	     48		     46		     2		    41
      18	     64		      4		     2		   103
      19	     39		     28		     4		    62
      20	     79		     30		     2		    90
      21	     61		     36		     2		    21
      22	     51		     91		     3		   128
      23	     68		     59		     1		    61
      24	     14		      9		     2		   155
      25	     68		     29		     1		    35
      26	     12		     91		     1		   245
      27	      2		     22		     2		   200
      28	     25		     16		     2		   134
      29	      3		     51		     3		   217
      30	     13		     52		     1		   157
      31	      9		     76		     1		   198
      32	     58		     18		     1		    97
      33	     40		     39		     1		    65
      34	     32		     89		     1		   110
      35	     36		     14		     3		    80
      36	     10		     25		     1		   108
      37	     96		     97		     5		   189
      38	     40		     91		     2		   156
      39	     33		     31		     1		    72
      40	     72		     74		     1		    78
      41	     41		     24		     3		   102
      42	     90		     20		     1		    91
      43	     54		     22		     2		    56
      44	      3		     70		     2		   149
      45	     94		     16		     2		   114
      46	     14		     40		     2		   168
      47	     37		      0		     1		   131
      48	     88		     55		     1		    98
      49	     80		     25		     2		   100
      50	     37		     64		     2		   113
      51	     18		     68		     3		   134
