INSTANCE:	P-n12-k3
VEHICLES:	3
CUSTOMERS:	12
TIME UB:	357
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     42		     41		       5	        2	    16
       1	     31		     62		       5	        2	    23
       2	     37		     52		       5	        0	   357
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     30		     40		     0		   357
       1	     49		     49		     1		    71
       2	     52		     64		     2		    70
       3	     52		     33		     2		    67
       4	     52		     41		     1		    61
       5	     57		     58		     1		    97
       6	     62		     42		     2		    73
       7	     42		     57		     3		    66
       8	     27		     68		     1		   105
       9	     43		     67		     2		   107
      10	     58		     48		     1		   107
      11	     58		     27		     1		    94
      12	     37		     69		     4		    86
