INSTANCE:	F-n101-k33
VEHICLES:	33
CUSTOMERS:	101
TIME UB:	1579
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	   11.4		   14.5		       5	        0	  1579
       1	   26.5		   11.7		       5	        0	  1579
       2	   -8.0		   30.0		       4	        1	    29
       3	    8.7		    2.8		       5	        2	    28
       4	 -142.0		  -31.0		       5	        3	   173
       5	  -80.0		  -16.0		       4	        3	   156
       6	   16.5		    7.8		       5	        0	  1579
       7	  -79.0		  -17.0		       5	        1	    96
       8	   -2.0		   10.0		       5	        0	  1579
       9	   20.8		    4.0		       4	        0	  1579
      10	   14.4		   11.3		       5	        0	  1579
      11	   -3.0		    1.2		       5	        0	  1579
      12	   28.3		   14.3		       5	        0	  1579
      13	   10.0		   51.0		       4	        0	  1579
      14	  -80.0		  -15.0		       5	        0	  1579
      15	   25.0		   20.0		       4	        1	    60
      16	  -78.0		  -17.0		       5	        1	   127
      17	   26.0		   21.0		       4	        1	    43
      18	  -80.0		  -14.0		       4	        0	  1579
      19	   14.8		    2.4		       5	        0	  1579
      20	    9.8		   16.6		       5	        0	  1579
      21	   -4.0		   -4.0		       5	        0	  1579
      22	   11.8		    3.0		       4	        0	  1579
      23	   29.0		   10.0		       5	        0	  1579
      24	   -3.0		   -6.0		       4	        1	    42
      25	   16.0		   21.0		       4	        0	  1579
      26	   -0.5		    6.9		       5	        0	  1579
      27	   13.4		    5.5		       5	        2	    32
      28	   15.0		    1.8		       5	        0	  1579
      29	    2.1		    6.2		       4	        0	  1579
      30	  -78.0		  -17.5		       5	        1	   114
      31	    6.5		    9.7		       4	        0	  1579
      32	 -152.0		    1.0		       5	        0	  1579
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	   -6.0		   15.0		     0		  1579
       1	    3.2		    5.1		     1		    45
       2	   24.6		    8.3		     1		   113
       3	   23.3		    1.3		     1		    64
       4	   27.8		    8.3		     1		    71
       5	   29.0		    8.0		     1		    88
       6	   31.0		    8.0		     2		   152
       7	   33.5		   10.5		     3		    80
       8	   30.0		   10.5		     1		    92
       9	   27.0		   14.3		     2		    98
      10	   23.5		   19.0		     1		    60
      11	   26.0		   20.0		     3		    94
      12	   20.5		   19.0		     3		   107
      13	  -20.0		   13.0		     1		    33
      14	  -21.0		   14.0		     2		    35
      15	  -30.0		   30.0		     1		   102
      16	   -5.0		   30.0		     1		    60
      17	    1.3		   17.8		     1		    30
      18	    1.8		   13.8		     4		    17
      19	    1.8		   13.1		     2		    22
      20	    2.0		   13.6		     2		    20
      21	    4.8		   17.0		     3		    38
      22	    7.0		   15.0		     1		    29
      23	   11.0		   12.0		     1		    66
      24	    9.3		   10.7		     1		    37
      25	    0.6		    2.8		     1		    37
