INSTANCE:	P-n41-k13
VEHICLES:	13
CUSTOMERS:	41
TIME UB:	561
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     21		     45		       5	        0	   561
       1	     50		     40		       5	        1	    17
       2	     35		     16		       4	        0	   561
       3	     11		     28		       5	        1	    55
       4	     12		     38		       5	        0	   561
       5	     29		     39		       4	        0	   561
       6	     22		     22		       5	        0	   561
       7	     55		     34		       4	        1	    22
       8	     47		     66		       4	        1	    49
       9	     50		     15		       4	        0	   561
      10	     62		     24		       4	        0	   561
      11	     31		     76		       4	        1	    59
      12	     21		     48		       5	        3	    21
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     40		     40		     0		   561
       1	     36		     26		     2		    46
       2	     45		     35		     1		    22
       3	     55		     20		     3		    66
       4	     33		     34		     1		    33
       5	     50		     50		     2		    39
       6	     55		     45		     1		    57
       7	     26		     59		     1		    90
       8	     40		     66		     2		    64
       9	     55		     65		     2		    96
      10	     35		     51		     1		    26
      11	     62		     35		     1		    84
      12	     62		     57		     2		    95
      13	     21		     36		     3		    67
      14	     33		     44		     2		    21
      15	      9		     56		     1		   110
      16	     62		     48		     4		    66
      17	     66		     14		     2		   137
      18	     44		     13		     1		    86
      19	     26		     13		     1		   119
      20	      7		     43		     1		    77
      21	     17		     64		     1		   114
      22	     41		     46		     1		    17
      23	     52		     26		     3		    41
      24	     43		     26		     2		    37
      25	     22		     53		     1		    72
      26	     26		     29		     2		    55
      27	     55		     50		     1		    43
      28	     54		     10		     1		    85
      29	     60		     15		     3		    81
      30	     30		     60		     2		    66
      31	     30		     50		     1		    35
      32	     12		     17		     3		    78
      33	     15		     14		     1		    94
      34	     16		     19		     2		   110
      35	     50		     30		     1		    31
      36	     51		     42		     1		    26
      37	     48		     21		     1		    67
      38	     15		     56		     1		    84
      39	     54		     38		     2		    41
      40	     55		     57		     2		    60
      41	     67		     41		     3		    81
