INSTANCE:	E-n16-k5
VEHICLES:	5
CUSTOMERS:	16
TIME UB:	696
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    156		    217		       5	        1	    15
       1	    163		    236		       5	        0	   696
       2	    151		    264		       4	        0	   696
       3	    161		    242		       5	        0	   696
       4	    164		    208		       4	        0	   696
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    145		    215		     0		   696
       1	    159		    261		     1		   168
       2	    130		    254		     1		   149
       3	    128		    252		     1		   110
       4	    163		    247		     1		    79
       5	    146		    246		     3		    64
       6	    142		    239		     3		    72
       7	    148		    232		     2		    43
       8	    128		    231		     3		    86
       9	    129		    214		     1		    38
      10	    146		    208		     1		    20
      11	    141		    206		     1		    22
      12	    147		    193		     1		    78
      13	    164		    193		     1		    63
      14	    129		    189		     1		    96
      15	    155		    185		     2		    80
      16	    139		    182		     4		    80
