INSTANCE:	A-n45-k14
VEHICLES:	14
CUSTOMERS:	45
TIME UB:	798
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     45		     11		       5	        2	   132
       1	     69		     69		       4	        1	    54
       2	     31		     97		       4	        1	     9
       3	     83		     69		       5	        1	   105
       4	     63		     57		       4	        1	    52
       5	     53		     11		       4	        0	   798
       6	     65		     93		       5	        2	    55
       7	     41		     69		       4	        1	    41
       8	     15		     95		       4	        0	   798
       9	     35		     43		       4	        0	   798
      10	      7		     65		       4	        2	    51
      11	     93		     83		       5	        0	   798
      12	     19		     83		       5	        1	    23
      13	      3		     57		       5	        2	    65
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     27		     93		     0		   798
       1	     33		     27		     1		   166
       2	     29		     39		     2		   126
       3	      7		     81		     1		    72
       4	      1		     59		     2		    91
       5	     49		      9		     2		   181
       6	     21		     53		     1		   131
       7	     79		     89		     1		   157
       8	     81		     83		     2		   121
       9	     85		     11		     2		   210
      10	     45		      9		     2		   183
      11	     95		     27		     2		   280
      12	     81		     85		     2		   115
      13	     37		     81		     1		    41
      14	     89		     75		     1		   209
      15	     33		     93		     4		    13
      16	     57		     83		     3		   125
      17	     11		     95		     1		    38
      18	     43		     61		     1		   111
      19	     85		     77		     2		   235
      20	     19		     39		     3		   111
      21	     83		     87		     2		   205
      22	      1		     13		     1		   266
      23	     15		     39		     1		   144
      24	     83		     17		     2		   278
      25	     41		     97		     1		    35
      26	     31		     61		     2		   108
      27	     59		     69		     3		   146
      28	     29		     15		     2		   174
      29	     63		     97		     2		    78
      30	     65		     57		     1		   174
      31	     15		     69		     2		    79
      32	     57		      9		     1		   344
      33	     85		     37		     1		   254
      34	     21		     29		     1		   156
      35	     15		     77		     3		    76
      36	     45		     17		     1		   305
      37	     13		     25		     3		   212
      38	     95		      5		     1		   356
      39	     55		     91		     1		    98
      40	      3		     31		     1		   244
      41	     47		      7		     1		   319
      42	     61		     69		     2		   101
      43	     85		     35		     3		   226
      44	     89		     81		     2		   175
      45	     45		     47		     1		   166
