INSTANCE:	E-n57-k18
VEHICLES:	18
CUSTOMERS:	57
TIME UB:	611
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     12		     17		       4	        1	    66
       1	     30		     60		       4	        2	    28
       2	     33		     44		       5	        0	   611
       3	     36		      6		       5	        3	    68
       4	     35		     51		       4	        1	    24
       5	     15		      5		       5	        0	   611
       6	     54		     10		       5	        0	   611
       7	     11		     28		       5	        2	    44
       8	     47		     66		       4	        0	   611
       9	     50		     15		       4	        2	    47
      10	     33		     34		       5	        1	    13
      11	     50		     40		       5	        0	   611
      12	     29		     39		       5	        0	   611
      13	     21		     48		       5	        0	   611
      14	     20		     30		       4	        0	   611
      15	     38		     33		       5	        1	    10
      16	     55		     65		       5	        2	    50
      17	     40		     20		       4	        3	    20
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     40		     40		     0		   611
       1	     22		     22		     2		    67
       2	     36		     26		     1		    37
       3	     21		     45		     2		    71
       4	     45		     35		     1		    14
       5	     55		     20		     1		    60
       6	     50		     50		     3		    31
       7	     55		     45		     1		    36
       8	     26		     59		     1		    68
       9	     40		     66		     2		    87
      10	     62		     35		     1		    82
      11	     62		     57		     3		    92
      12	     62		     24		     1		   100
      13	     21		     36		     1		    72
      14	      9		     56		     5		   122
      15	     62		     48		     1		    67
      16	     66		     14		     1		    80
      17	     44		     13		     1		    99
      18	     26		     13		     1		   103
      19	      7		     43		     2		    69
      20	     17		     64		     1		   117
      21	     41		     46		     1		    17
      22	     55		     34		     1		    51
      23	     35		     16		     1		    87
      24	     52		     26		     1		    46
      25	     43		     26		     2		    41
      26	     31		     76		     1		   144
      27	     22		     53		     2		    82
      28	     26		     29		     1		    65
      29	     55		     50		     2		    49
      30	     60		     15		     3		    82
      31	     30		     50		     3		    49
      32	     15		     14		     1		   133
      33	     16		     19		     1		    65
      34	     50		     30		     3		    36
      35	     51		     42		     1		    30
      36	     48		     21		     1		    42
      37	     12		     38		     2		    60
      38	     15		     56		     1		    84
      39	     54		     38		     3		    51
      40	     55		     57		     2		    61
      41	     67		     41		     4		    86
      42	     10		     70		     1		   107
      43	      6		     25		     2		    78
      44	     65		     27		     2		    78
      45	     40		     60		     2		    74
      46	     70		     64		     2		   131
      47	     64		      4		     2		    92
      48	     30		     20		     1		    75
      49	     50		     70		     1		   119
      50	     57		     72		     3		    72
      51	     45		     42		     3		    17
      52	     50		      4		     1		   134
      53	     66		      8		     1		    94
      54	     59		      5		     3		   102
      55	     35		     60		     2		    79
      56	     27		     24		     2		    82
      57	     40		     37		     1		     9
