INSTANCE:	A-n33-k11
VEHICLES:	11
CUSTOMERS:	33
TIME UB:	798
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     83		      7		       5	        1	   103
       1	     29		     71		       5	        2	    46
       2	     75		     77		       5	        1	    29
       3	     63		      9		       5	        0	   798
       4	     63		     25		       4	        1	   145
       5	     93		     33		       5	        0	   798
       6	     95		      7		       5	        0	   798
       7	     41		     27		       4	        0	   798
       8	      7		     25		       4	        1	   106
       9	     89		     27		       4	        2	   128
      10	     57		     81		       5	        0	   798
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     61		     99		     0		   798
       1	     45		     87		     3		    65
       2	     15		     47		     2		   201
       3	     39		     75		     3		    97
       4	     55		     23		     1		   264
       5	     87		     79		     3		   120
       6	     75		     63		     3		   115
       7	     65		     61		     2		   127
       8	     73		     35		     1		   146
       9	     17		     35		     1		   303
      10	     39		     99		     1		    71
      11	     49		     37		     1		   212
      12	     85		     31		     2		   252
      13	     89		     71		     1		   101
      14	     89		     43		     4		   220
      15	     79		     81		     1		    99
      16	     45		      5		     2		   295
      17	     93		     69		     1		   115
      18	     49		     69		     2		   124
      19	     39		     45		     1		   206
      20	     89		     33		     5		   281
      21	     47		     77		     2		    89
      22	     29		     19		     1		   323
      23	     13		     65		     4		   210
      24	     33		      9		     2		   258
      25	     41		     13		     2		   315
      26	     67		     75		     4		    63
      27	     49		     77		     1		    97
      28	     57		     81		     1		    55
      29	     45		      5		     2		   289
      30	     81		     61		     1		   142
      31	     93		     89		     1		    89
      32	     17		     13		     2		   225
      33	     35		     35		     2		   237
