INSTANCE:	A-n28-k9
VEHICLES:	9
CUSTOMERS:	28
TIME UB:	815
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     67		     95		       5	        3	    39
       1	     75		     89		       4	        0	   815
       2	     17		     57		       4	        1	    60
       3	     75		     69		       5	        1	     9
       4	     11		     15		       4	        0	   815
       5	     71		     79		       4	        0	   815
       6	     21		     91		       5	        0	   815
       7	     45		     41		       5	        1	    63
       8	     97		     95		       5	        0	   815
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     69		     63		     0		   815
       1	      3		     35		     1		   191
       2	      1		     47		     1		   263
       3	     87		     23		     3		    96
       4	     37		     33		     3		    94
       5	     87		     29		     3		   104
       6	     35		     81		     1		   150
       7	     55		     71		     1		    47
       8	     41		     51		     1		   102
       9	     93		      9		     1		   203
      10	     11		     49		     2		   194
      11	     15		     13		     1		   277
      12	     63		     95		     2		    87
      13	     47		     41		     1		    65
      14	     89		     43		     2		    64
      15	     45		     59		     1		    94
      16	     95		     23		     3		   105
      17	     19		     83		     2		   186
      18	     71		     69		     1		    17
      19	     27		     19		     3		   243
      20	     93		     15		     1		   211
      21	     59		     29		     3		    78
      22	     35		     39		     1		    85
      23	     33		     51		     3		   104
      24	     61		     21		     1		   122
      25	     89		     53		     1		    66
      26	     33		     85		     1		    98
      27	     37		     37		     1		   144
      28	     61		     15		     1		   150
