INSTANCE:	E-n38-k12
VEHICLES:	12
CUSTOMERS:	38
TIME UB:	535
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     36		     16		       4	        1	    43
       1	     17		     33		       5	        0	   535
       2	     62		     63		       5	        0	   535
       3	     13		     13		       4	        1	    35
       4	      5		     25		       5	        2	    29
       5	      7		     38		       5	        1	    37
       6	     37		     69		       5	        1	    50
       7	     52		     41		       4	        1	    34
       8	     51		     21		       4	        0	   535
       9	     25		     55		       4	        0	   535
      10	     57		     58		       5	        0	   535
      11	     21		     47		       4	        0	   535
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     30		     40		     0		   535
       1	     37		     52		     1		    32
       2	     49		     49		     1		    56
       3	     52		     64		     2		   107
       4	     20		     26		     2		    68
       5	     40		     30		     1		    32
       6	     17		     63		     3		    58
       7	     31		     62		     1		    57
       8	     52		     33		     1		    69
       9	     42		     41		     2		    40
      10	     31		     32		     2		    20
      11	     12		     42		     4		    58
      12	     27		     23		     4		    39
      13	     62		     42		     2		   113
      14	     42		     57		     2		    74
      15	     16		     57		     2		    70
      16	      8		     52		     2		    57
      17	     27		     68		     2		    67
      18	     30		     48		     2		    28
      19	     43		     67		     1		   114
      20	     58		     48		     1		    70
      21	     58		     27		     3		    78
      22	     38		     46		     1		    33
      23	     46		     10		     3		   109
      24	     61		     33		     1		   105
      25	     63		     69		     2		   111
      26	     32		     22		     3		    40
      27	     45		     35		     1		    38
      28	     59		     15		     3		   136
      29	      5		      6		     2		   142
      30	     10		     17		     1		    82
      31	     21		     10		     4		    88
      32	      5		     64		     1		    87
      33	     30		     15		     1		    58
      34	     39		     10		     1		    98
      35	     32		     39		     1		     6
      36	     25		     32		     3		    30
      37	     48		     28		     2		    77
      38	     56		     37		     1		    85
