INSTANCE:	B-n50-k16
VEHICLES:	16
CUSTOMERS:	50
TIME UB:	925
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     78		    109		       4	        1	    28
       1	     79		     86		       4	        1	    41
       2	     33		     94		       4	        0	   925
       3	     20		     39		       5	        1	    72
       4	     72		    101		       5	        0	   925
       5	     71		     91		       5	        2	    22
       6	     26		     42		       4	        3	    73
       7	     82		    107		       5	        0	   925
       8	     40		      0		       5	        1	   137
       9	     29		     91		       5	        1	    41
      10	     21		     93		       5	        4	    43
      11	     82		    105		       5	        0	   925
      12	     22		     92		       5	        2	    69
      13	     26		     40		       5	        0	   925
      14	     93		     17		       4	        2	   158
      15	     29		     93		       5	        0	   925
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     58		     90		     0		   925
       1	      5		     66		     1		   196
       2	     34		     98		     1		    77
       3	     23		     67		     1		   133
       4	     20		     86		     1		    77
       5	      7		     99		     2		   125
       6	     72		     78		     2		    58
       7	     27		     90		     3		   106
       8	     14		     72		     2		   109
       9	     72		     96		     1		    30
      10	     19		     73		     1		   144
      11	     76		     95		     1		    64
      12	     30		     92		     2		   104
      13	     30		     87		     1		    89
      14	     40		    104		     1		    58
      15	      7		     73		     4		   114
      16	      7		     76		     2		   171
      17	     12		    104		     1		   173
      18	     77		     85		     2		    48
      19	     37		    101		     1		    58
      20	     28		     91		     3		    61
      21	     72		     95		     1		    45
      22	     98		     18		     1		   199
      23	     42		    107		     3		    49
      24	     16		    101		     1		   108
      25	     41		    100		     3		    43
      26	     23		     41		     1		   220
      27	      8		     70		     3		   171
      28	     22		     45		     2		   186
      29	     15		    103		     1		   131
      30	     27		     88		     2		   105
      31	     25		     47		     1		   175
      32	     25		     45		     1		   186
      33	     26		     44		     2		   223
      34	     27		     69		     2		   146
      35	     40		     99		     2		    58
      36	     74		     81		     2		    66
      37	      8		     69		     1		   122
      38	     18		     74		     1		    95
      39	     24		     96		     1		   105
      40	     27		     46		     1		   144
      41	     81		     95		     1		    63
      42	     79		     95		     1		    86
      43	     76		     95		     1		    53
      44	     97		     19		     3		   162
      45	     74		     98		     4		    69
      46	     21		     94		     2		   118
      47	    100		     23		     1		   164
      48	     99		     24		     2		   293
      49	     73		     85		     1		    43
      50	     16		    103		     1		   167
