INSTANCE:	M-n150-k49
VEHICLES:	49
CUSTOMERS:	150
TIME UB:	628
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     49		     58		       5	        1	    54
       1	     55		     65		       4	        1	    38
       2	     16		     22		       4	        0	   628
       3	     26		     59		       5	        2	    36
       4	     12		     24		       5	        1	    34
       5	     51		     21		       5	        1	    37
       6	     21		     10		       4	        0	   628
       7	     61		     33		       5	        1	    44
       8	     19		     21		       5	        1	    24
       9	     62		     48		       4	        0	   628
      10	     44		     13		       4	        1	    25
      11	     21		     48		       4	        0	   628
      12	     22		     53		       5	        0	   628
      13	     36		     16		       5	        0	   628
      14	     15		     30		       4	        1	    33
      15	     65		     20		       4	        2	    48
      16	     20		     26		       4	        0	   628
      17	     51		     42		       5	        0	   628
      18	     35		     17		       4	        0	   628
      19	     52		     64		       4	        0	   628
      20	     30		     15		       5	        1	    35
      21	     44		     17		       5	        1	    33
      22	     22		     22		       4	        1	    27
      23	     32		     39		       4	        0	   628
      24	     42		     57		       4	        1	    42
      25	     18		     18		       4	        0	   628
      26	     10		     43		       5	        2	    29
      27	     50		     50		       5	        0	   628
      28	     58		     48		       4	        0	   628
      29	     12		     42		       5	        0	   628
      30	     40		     66		       5	        0	   628
      31	     11		     14		       4	        1	    47
      32	     35		     69		       5	        0	   628
      33	     25		     55		       5	        0	   628
      34	     45		     35		       5	        0	   628
      35	     50		     30		       5	        3	    21
      36	     31		     76		       4	        2	    57
      37	     17		     63		       4	        1	    37
      38	     28		     18		       5	        1	    27
      39	     30		      5		       4	        0	   628
      40	     15		     47		       4	        1	    40
      41	     31		     52		       4	        0	   628
      42	     55		     60		       4	        1	    64
      43	     66		     14		       4	        0	   628
      44	     47		     66		       5	        0	   628
      45	     31		     62		       5	        0	   628
      46	     17		     64		       4	        1	    67
      47	     11		     31		       4	        0	   628
      48	      2		     60		       4	        2	    73
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     35		     35		     0		   628
       1	     41		     49		     1		    34
       2	     55		     45		     1		    87
       3	     55		     20		     2		    68
       4	     25		     30		     1		    42
       5	     20		     50		     1		    68
       6	     30		     60		     1		    94
       7	     20		     65		     1		   120
       8	     50		     35		     1		    59
       9	     30		     25		     3		    30
      10	     15		     10		     1		    90
      11	     10		     20		     1		    71
      12	      5		     30		     4		   111
      13	     20		     40		     2		    40
      14	     15		     60		     2		    68
      15	     45		     65		     2		    99
      16	     45		     20		     1		    37
      17	     45		     10		     2		   104
      18	     55		      5		     1		   109
      19	     65		     35		     1		    85
      20	     45		     30		     1		    41
      21	     35		     40		     1		    19
      22	     41		     37		     3		    12
      23	     64		     42		     2		    99
      24	     40		     60		     1		    61
      25	     53		     52		     2		    72
      26	     65		     55		     2		   131
      27	     63		     65		     4		   110
      28	     20		     20		     1		    84
      29	      5		      5		     1		   141
      30	     60		     12		     3		   136
      31	     40		     25		     2		    36
      32	     42		      7		     1		   103
      33	     24		     12		     4		    72
      34	     23		      3		     1		    80
      35	      6		     38		     5		    73
      36	      2		     48		     1		    82
      37	      8		     56		     1		   136
      38	     13		     52		     1		    96
      39	      6		     68		     2		   139
      40	     47		     47		     4		    40
      41	     27		     43		     1		    28
      42	     37		     31		     3		    13
      43	     57		     29		     3		    70
      44	     63		     23		     1		    76
      45	     53		     12		     1		    66
      46	     32		     12		     2		    58
      47	     36		     26		     1		    20
      48	     21		     24		     1		    44
      49	     17		     34		     1		    64
      50	     24		     58		     1		    51
      51	     27		     69		     3		   120
      52	     15		     77		     1		   161
      53	     62		     77		     1		   165
      54	     49		     73		     1		   147
      55	     67		      5		     2		   160
      56	     56		     39		     1		    47
      57	     37		     47		     1		    37
