INSTANCE:	M-n75-k25
VEHICLES:	25
CUSTOMERS:	75
TIME UB:	807
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     50		     40		       5	        0	   807
       1	      5		     45		       4	        0	   807
       2	     47		     35		       5	        0	   807
       3	     15		     75		       4	        0	   807
       4	     75		     55		       4	        1	    57
       5	     85		     35		       5	        3	    62
       6	     55		     80		       5	        0	   807
       7	     95		     35		       4	        2	    71
       8	      0		     40		       5	        3	    69
       9	     60		     85		       5	        1	    75
      10	     95		     30		       5	        1	    97
      11	      8		     40		       4	        1	    51
      12	     35		     32		       5	        1	    38
      13	     20		     55		       4	        1	    24
      14	     42		     10		       4	        0	   807
      15	     20		     50		       4	        0	   807
      16	     10		     35		       4	        0	   807
      17	     38		     15		       4	        0	   807
      18	     30		     52		       4	        2	    13
      19	     58		     75		       5	        0	   807
      20	     88		     35		       5	        0	   807
      21	     48		     30		       4	        1	    29
      22	     47		     40		       4	        1	    20
      23	     63		     58		       4	        0	   807
      24	     23		     52		       5	        0	   807
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     40		     50		     0		   807
       1	     45		     68		     1		    73
       2	     45		     70		     2		    48
       3	     42		     66		     1		    53
       4	     42		     68		     2		    60
       5	     42		     65		     2		    48
       6	     40		     69		     1		    71
       7	     40		     66		     1		    62
       8	     38		     68		     1		    62
       9	     38		     70		     2		    56
      10	     35		     66		     1		    44
      11	     35		     69		     2		    72
      12	     25		     85		     2		   128
      13	     22		     75		     1		   121
      14	     22		     85		     4		   152
      15	     20		     80		     2		    84
      16	     20		     85		     1		   142
      17	     18		     75		     2		    97
      18	     15		     80		     1		   127
      19	     30		     50		     3		    33
      20	     28		     52		     1		    48
      21	     28		     55		     1		    44
      22	     25		     50		     2		    52
      23	     25		     52		     1		    36
      24	     25		     55		     1		    49
      25	     23		     55		     1		    47
      26	     10		     40		     1		    98
      27	      8		     45		     1		   122
      28	      5		     35		     1		   118
      29	      2		     40		     1		    83
      30	      0		     45		     1		   159
      31	     35		     30		     1		    65
      32	     33		     32		     1		    74
      33	     33		     35		     1		    34
      34	     32		     30		     1		    53
      35	     30		     30		     1		    86
      36	     30		     32		     2		    82
      37	     30		     35		     1		    69
      38	     28		     30		     3		    46
      39	     28		     35		     2		    63
      40	     26		     32		     1		    53
      41	     25		     30		     2		    98
      42	     25		     35		     1		    46
      43	     44		      5		     3		   145
      44	     42		     15		     1		    98
      45	     40		      5		     1		   109
      46	     40		     15		     2		    72
      47	     38		      5		     2		   160
      48	     35		      5		     1		   166
      49	     50		     30		     1		    49
      50	     50		     35		     4		    47
      51	     48		     40		     1		    29
      52	     45		     30		     2		    68
      53	     45		     35		     1		    49
      54	     53		     30		     1		    88
      55	     92		     30		     1		   147
      56	     53		     35		     1		    73
      57	     45		     65		     1		    52
      58	     90		     35		     1		   111
      59	     88		     30		     1		   127
      60	     87		     30		     1		   114
      61	     85		     25		     3		   119
      62	     72		     55		     1		    78
      63	     70		     58		     2		   121
      64	     68		     60		     3		    97
      65	     66		     55		     1		    71
      66	     65		     55		     2		    79
      67	     65		     60		     1		    64
      68	     60		     55		     3		    84
      69	     60		     60		     1		    82
      70	     67		     85		     4		   155
      71	     65		     85		     2		    87
      72	     65		     82		     1		   158
      73	     62		     80		     2		   114
      74	     60		     80		     2		    79
      75	     55		     85		     2		   128
