INSTANCE:	P-n38-k12
VEHICLES:	12
CUSTOMERS:	38
TIME UB:	535
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     20		     26		       5	        0	   535
       1	     31		     62		       5	        0	   535
       2	     57		     58		       4	        0	   535
       3	     27		     68		       5	        1	    36
       4	     31		     32		       5	        1	     9
       5	      5		     25		       5	        0	   535
       6	     17		     63		       5	        4	    43
       7	     42		     41		       5	        0	   535
       8	     32		     22		       4	        1	    35
       9	     13		     13		       4	        0	   535
      10	      5		      6		       4	        2	    76
      11	     59		     15		       5	        0	   535
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     30		     40		     0		   535
       1	     37		     52		     2		    50
       2	     49		     49		     2		    76
       3	     52		     64		     1		    93
       4	     40		     30		     1		    52
       5	     21		     47		     1		    35
       6	     52		     33		     1		    71
       7	     51		     21		     2		   102
       8	     12		     42		     4		    58
       9	     36		     16		     3		    54
      10	     52		     41		     1		    82
      11	     27		     23		     1		    52
      12	     17		     33		     1		    33
      13	     62		     42		     1		    72
      14	     42		     57		     1		    71
      15	     16		     57		     2		    83
      16	      8		     52		     1		    67
      17	      7		     38		     1		    61
      18	     30		     48		     1		    19
      19	     43		     67		     1		    90
      20	     58		     48		     3		    93
      21	     58		     27		     1		   101
      22	     37		     69		     3		   108
      23	     38		     46		     1		    31
      24	     46		     10		     3		   135
      25	     61		     33		     1		    96
      26	     62		     63		     2		   109
      27	     63		     69		     4		   153
      28	     45		     35		     2		    32
      29	     10		     17		     2		   104
      30	     21		     10		     1		    90
      31	      5		     64		     3		   131
      32	     30		     15		     2		    59
      33	     39		     10		     1		   119
      34	     32		     39		     1		     7
      35	     25		     32		     3		    34
      36	     25		     55		     2		    56
      37	     48		     28		     2		    69
      38	     56		     37		     2		    94
