INSTANCE:	P-n57-k18
VEHICLES:	18
CUSTOMERS:	57
TIME UB:	611
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     40		     66		       5	        0	   611
       1	     48		     21		       5	        0	   611
       2	     36		     26		       5	        1	    21
       3	     50		     15		       5	        2	    51
       4	     30		     20		       4	        0	   611
       5	     45		     42		       4	        0	   611
       6	     70		     64		       4	        1	    39
       7	     40		     20		       4	        0	   611
       8	     22		     22		       5	        1	    27
       9	     26		     13		       5	        0	   611
      10	     62		     57		       5	        2	    45
      11	     65		     27		       4	        1	    40
      12	     45		     35		       4	        0	   611
      13	     20		     30		       5	        1	    23
      14	      6		     25		       4	        1	    58
      15	     64		      4		       4	        0	   611
      16	     62		     24		       4	        1	    46
      17	      9		     56		       5	        1	    49
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     40		     40		     0		   611
       1	     21		     45		     1		    52
       2	     55		     20		     2		    54
       3	     33		     34		     1		    34
       4	     50		     50		     1		    33
       5	     55		     45		     1		    43
       6	     26		     59		     1		    60
       7	     55		     65		     1		    97
       8	     35		     51		     2		    31
       9	     62		     35		     2		    66
      10	     21		     36		     1		    41
      11	     33		     44		     2		    24
      12	     62		     48		     1		    48
      13	     66		     14		     2		   117
      14	     44		     13		     2		    77
      15	     11		     28		     1		   123
      16	      7		     43		     1		   129
      17	     17		     64		     2		    73
      18	     41		     46		     2		    21
      19	     55		     34		     1		    56
      20	     35		     16		     1		    80
      21	     52		     26		     2		    51
      22	     43		     26		     4		    40
      23	     31		     76		     2		    96
      24	     22		     53		     1		    51
      25	     26		     29		     2		    38
      26	     50		     40		     1		    28
      27	     55		     50		     2		    70
      28	     54		     10		     3		   126
      29	     60		     15		     2		   117
      30	     47		     66		     3		    62
      31	     30		     60		     1		    69
      32	     30		     50		     3		    38
      33	     12		     17		     1		   137
      34	     15		     14		     2		   110
      35	     16		     19		     1		    94
      36	     21		     48		     2		    45
      37	     50		     30		     1		    50
      38	     51		     42		     1		    39
      39	     12		     38		     2		    89
      40	     15		     56		     2		    95
      41	     29		     39		     3		    33
      42	     54		     38		     5		    42
      43	     55		     57		     2		    86
      44	     67		     41		     1		    58
      45	     10		     70		     1		   146
      46	     40		     60		     3		    64
      47	     36		      6		     1		    75
      48	     15		      5		     1		   120
      49	     50		     70		     1		    90
      50	     57		     72		     1		   136
      51	     38		     33		     2		    20
      52	     50		      4		     4		    74
      53	     66		      8		     1		   110
      54	     59		      5		     1		   114
      55	     35		     60		     2		    60
      56	     27		     24		     1		    79
      57	     40		     37		     3		     7
