INSTANCE:	B-n29-k9
VEHICLES:	9
CUSTOMERS:	29
TIME UB:	841
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     98		     82		       5	        0	   841
       1	    100		     82		       4	        0	   841
       2	     80		     62		       5	        0	   841
       3	     78		     64		       5	        0	   841
       4	     44		     42		       4	        0	   841
       5	     92		     32		       4	        1	    64
       6	     98		     80		       4	        0	   841
       7	     52		     52		       4	        0	   841
       8	     52		     54		       5	        1	    37
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     37		     21		     0		   841
       1	     77		     57		     1		   203
       2	     97		     79		     3		   320
       3	     39		     33		     1		    26
       4	     45		     47		     1		    90
       5	     85		     23		     1		   140
       6	      7		      1		     2		   111
       7	     16		      6		     2		    75
       8	     21		     13		     1		    72
       9	     21		      7		     2		    78
      10	     12		      6		     1		    83
      11	     92		     24		     2		   144
      12	     10		      8		     1		    78
      13	     19		     15		     3		    68
      14	     86		     24		     1		   172
      15	    106		     84		     1		   295
      16	     48		     48		     2		   105
      17	      8		      2		     1		    93
      18	     14		      2		     3		   103
      19	     14		      2		     2		    94
      20	    106		     80		     1		   340
      21	     98		     86		     1		   190
      22	     98		     82		     1		   192
      23	     82		     62		     2		   173
      24	     42		     42		     3		    85
      25	     25		     11		     2		    51
      26	    104		     86		     4		   236
      27	     44		     38		     1		    44
      28	     16		      4		     1		    88
      29	     46		     48		     1		    62
