INSTANCE:	B-n33-k11
VEHICLES:	11
CUSTOMERS:	33
TIME UB:	908
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     59		     40		       4	        0	   908
       1	     60		     38		       5	        0	   908
       2	     98		     27		       5	        0	   908
       3	     42		     25		       5	        0	   908
       4	     83		     69		       4	        0	   908
       5	     60		     44		       4	        2	    44
       6	    102		     29		       5	        0	   908
       7	     83		     29		       5	        2	    76
       8	    101		     36		       4	        1	    84
       9	     76		     65		       4	        0	   908
      10	      0		     48		       5	        1	    52
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     49		     64		     0		   908
       1	     38		     21		     2		    95
       2	     69		     60		     1		    74
       3	     82		     28		     1		   170
       4	     86		     36		     2		   130
       5	     43		     26		     2		   147
       6	     45		     28		     1		   127
       7	     76		     68		     1		    71
       8	     64		     45		     1		    59
       9	      0		     44		     1		   208
      10	     89		     31		     2		   107
      11	      0		     44		     1		   139
      12	     84		     29		     2		   133
      13	     83		     66		     1		   129
      14	     86		     36		     1		   167
      15	    103		     32		     1		   145
      16	     76		     65		     5		   107
      17	     86		     74		     2		   108
      18	     66		     41		     2		    90
      19	     67		     40		     1		    99
      20	     77		     61		     1		   100
      21	     78		     66		     2		   104
      22	     66		     46		     1		    87
      23	     61		     41		     1		    65
      24	    105		     31		     1		   134
      25	     78		     68		     1		    69
      26	     91		     37		     3		   125
      27	     91		     45		     1		   117
      28	     74		     65		     1		    56
      29	     93		     37		     2		   134
      30	    107		     34		     1		   223
      31	     63		     40		     2		    83
      32	     61		     47		     2		    46
      33	     90		     43		     3		   129
