INSTANCE:	V85_C340
VEHICLES:	85
CUSTOMERS:	340
TIME UB:	14143
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    715		    834		       4	        0	 14143
       1	    824		    548		       4	        0	 14143
       2	    242		    974		       4	        0	 14143
       3	    829		    237		       4	        0	 14143
       4	    278		    647		       4	        0	 14143
       5	    671		     65		       4	        0	 14143
       6	    960		    556		       4	        3	   984
       7	     12		    402		       4	        0	 14143
       8	    655		    266		       4	        0	 14143
       9	    689		    987		       4	        0	 14143
      10	    626		    397		       4	        0	 14143
      11	    183		    328		       4	        0	 14143
      12	    660		    125		       4	        0	 14143
      13	   1000		    111		       4	        0	 14143
      14	    298		    985		       4	        0	 14143
      15	    556		    579		       4	        0	 14143
      16	    451		    892		       4	        2	   406
      17	    537		     15		       4	        0	 14143
      18	    788		    600		       4	        0	 14143
      19	    119		    420		       4	        0	 14143
      20	    549		    374		       4	        0	 14143
      21	    955		    707		       4	        2	  1957
      22	    270		     61		       4	        0	 14143
      23	    542		    236		       4	        0	 14143
      24	    920		    246		       4	        0	 14143
      25	    684		    449		       4	        0	 14143
      26	    221		    332		       4	        0	 14143
      27	    462		    772		       4	        0	 14143
      28	    157		    473		       4	        0	 14143
      29	    585		    781		       4	        0	 14143
      30	    497		    124		       4	        0	 14143
      31	    462		    579		       4	        0	 14143
      32	    249		    707		       4	        0	 14143
      33	    698		    684		       4	        0	 14143
      34	    307		     36		       4	        0	 14143
      35	    678		    177		       4	        0	 14143
      36	    584		    609		       4	        1	  1574
      37	    841		    269		       4	        0	 14143
      38	    305		    451		       4	        0	 14143
      39	    225		    895		       4	        0	 14143
      40	     61		    863		       4	        0	 14143
      41	    567		      3		       4	        0	 14143
      42	    265		    514		       4	        1	  1117
      43	    968		    930		       4	        0	 14143
      44	    891		    349		       4	        2	   855
      45	    937		    472		       4	        0	 14143
      46	    668		    370		       4	        0	 14143
      47	    323		    805		       4	        0	 14143
      48	     28		    440		       4	        0	 14143
      49	    529		    905		       4	        0	 14143
      50	     59		    191		       4	        0	 14143
      51	    507		    414		       4	        0	 14143
      52	    659		    419		       4	        0	 14143
      53	    463		    632		       4	        0	 14143
      54	    584		    499		       4	        1	  1570
      55	    246		    254		       4	        0	 14143
      56	    733		    858		       4	        0	 14143
      57	    541		    512		       4	        0	 14143
      58	    689		    226		       4	        0	 14143
      59	    690		    861		       4	        3	   561
      60	    226		    988		       4	        0	 14143
      61	    263		     26		       4	        0	 14143
      62	    668		    199		       4	        0	 14143
      63	    523		    557		       4	        0	 14143
      64	    983		    375		       4	        0	 14143
      65	    376		    871		       4	        0	 14143
      66	    399		    422		       4	        0	 14143
      67	    552		    504		       4	        0	 14143
      68	    590		    482		       4	        0	 14143
      69	     66		    869		       4	        1	  1366
      70	    368		    438		       4	        2	   859
      71	    394		    586		       4	        1	  1784
      72	    341		     83		       4	        0	 14143
      73	     49		    758		       4	        0	 14143
      74	    861		     77		       4	        0	 14143
      75	    305		     19		       4	        2	  1034
      76	    754		    645		       4	        2	   355
      77	    408		     95		       4	        0	 14143
      78	    852		    684		       4	        0	 14143
      79	    500		    340		       4	        0	 14143
      80	    435		    854		       4	        0	 14143
      81	    378		     79		       4	        0	 14143
      82	    659		    186		       4	        0	 14143
      83	    725		    479		       4	        0	 14143
      84	     81		    800		       4	        0	 14143
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    782		    788		     0		 14143
       1	    934		     63		     1		  2663
       2	    877		    985		     1		  1915
       3	    112		    591		     1		  2088
       4	    381		    408		     4		  1693
       5	    612		    631		     1		  1743
       6	    447		    954		     3		  2171
       7	    886		    210		     1		  1339
       8	    811		    158		     1		  2249
       9	     52		    306		     1		  1216
      10	    454		     59		     1		  1852
      11	      4		    289		     1		  2908
      12	    242		    517		     2		  2572
      13	    719		    166		     2		  1835
      14	    483		    953		     1		  1170
      15	    765		    885		     1		  2450
      16	     53		    323		     2		  1007
      17	    622		    933		     1		  1838
      18	    108		    134		     4		  2819
      19	    414		    332		     1		  2362
      20	    938		    833		     1		  1764
      21	    552		    741		     1		  2427
      22	    931		     78		     1		  2141
      23	     60		    174		     1		  2068
      24	    611		    559		     1		  1794
      25	    793		    847		     2		  1562
      26	    254		    484		     1		  1682
      27	    898		    605		     1		  1223
      28	    880		     17		     1		  2663
      29	    183		    211		     1		  1198
      30	    424		    610		     1		  1086
      31	    268		    122		     1		  2398
      32	    830		    110		     3		  2885
      33	    822		    106		     3		  1839
      34	    586		    653		     1		  1214
      35	    654		    995		     1		  2464
      36	    667		    710		     2		  2913
      37	    160		    190		     1		  2586
      38	    243		    693		     1		  2807
      39	     17		    553		     1		  1838
      40	    137		     97		     1		  2162
      41	    807		    264		     1		  1171
      42	     23		     83		     1		  2184
      43	    378		    228		     1		  1663
      44	    190		    343		     3		  2086
      45	    747		    386		     1		  2822
      46	    885		     48		     1		  2583
      47	    977		    303		     1		  1936
      48	    286		    202		     1		  1164
      49	    222		    168		     2		  1874
      50	     89		    158		     1		  1781
      51	    826		    708		     1		  1246
      52	    764		    464		     1		  1885
      53	    573		    507		     2		  1575
      54	    840		     99		     3		  1126
      55	    427		    251		     1		  1624
      56	     12		     39		     2		  2971
      57	    933		    146		     1		  1145
      58	    848		    298		     1		  2869
      59	    616		    346		     1		  2710
      60	    867		    525		     1		  2386
      61	    315		    819		     1		  2589
      62	    155		     13		     1		  1526
      63	    290		     15		     1		  1403
      64	    175		    595		     1		  1051
      65	    648		    331		     1		  1847
      66	    813		    753		     1		  2192
      67	    789		    461		     1		  1742
      68	    966		    213		     2		  1380
      69	    231		    732		     1		  2891
      70	    280		     83		     2		  1911
      71	    397		    448		     1		  2159
      72	     25		    871		     1		  1623
      73	    964		    940		     1		  2923
      74	    589		    213		     1		  1438
      75	    345		    599		     1		  2766
      76	    814		    426		     1		  1404
      77	    268		    784		     1		  1735
      78	    946		    181		     1		  2335
      79	    843		    723		     1		  1727
      80	    780		    537		     2		  2713
      81	    272		    825		     1		  2019
      82	    516		    334		     1		  1176
      83	    446		    788		     1		  1039
