INSTANCE:	F-n33-k11
VEHICLES:	11
CUSTOMERS:	33
TIME UB:	1290
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	   64.0		   13.0		       5	        1	    79
       1	    0.0		   0.01		       5	        1	     0
       2	    2.5		    9.0		       5	        0	  1290
       3	   84.0		  -99.0		       5	        2	   228
       4	  -10.0		   20.0		       4	        2	    37
       5	   48.0		   16.0		       4	        1	    95
       6	   29.0		    4.0		       4	        0	  1290
       7	  -30.0		  -18.0		       4	        0	  1290
       8	   40.0		  -11.0		       5	        0	  1290
       9	  -15.0		  -21.0		       5	        0	  1290
      10	   63.0		  -17.0		       5	        0	  1290
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    0.0		    0.0		     0		  1290
       1	    3.0		    5.0		     2		    19
       2	   48.0		   17.0		     2		   142
       3	   69.0		   16.0		     2		   163
       4	   70.0		   16.0		     2		   286
       5	    3.0		  -22.0		     1		    72
       6	    2.5		    1.0		     2		     6
       7	  -13.0		   11.5		     2		    48
       8	  -20.0		   45.0		     2		   177
       9	   -9.0		   52.0		     5		   138
      10	   -8.5		   53.0		     2		   122
      11	   -8.0		   52.0		     1		   179
      12	    2.0		    2.0		     2		     6
      13	   -2.0		    9.0		     1		    31
      14	  -20.0		   19.0		     3		   108
      15	   -5.0		   -9.0		     2		    24
      16	   -4.5		   -9.0		     1		    27
      17	  -52.0		  -36.0		     1		   252
      18	  -53.0		  -36.0		     3		   160
      19	  -51.0		  -35.0		     4		   141
      20	   81.0		    9.0		     1		   207
      21	   82.0		   -6.0		     1		   280
      22	   40.0		  -12.0		     1		   133
      23	   50.0		   -7.0		     1		   173
      24	   51.0		   -8.0		     1		   184
      25	   45.0		   -1.0		     2		   157
      26	   54.0		    8.5		     3		   187
      27	   21.0		    3.0		     3		    67
      28	   22.0		    2.0		     1		    68
      29	   39.0		   -3.0		     4		    79
      30	   39.5		   -3.0		     3		   123
      31	   28.0		   -2.0		     3		   106
      32	   24.0		  -18.0		     1		   113
      33	   24.0		  -19.0		     1		   104
