INSTANCE:	V10_C50
VEHICLES:	10
CUSTOMERS:	50
TIME UB:	14143
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    797		    499		       4	        3	   970
       1	    590		    602		       4	        0	 14143
       2	    712		     28		       4	        1	  1782
       3	    485		    148		       4	        0	 14143
       4	    401		    929		       4	        0	 14143
       5	    548		     70		       4	        0	 14143
       6	    543		    129		       4	        0	 14143
       7	    755		    949		       4	        0	 14143
       8	    980		    622		       4	        3	  1289
       9	    869		    369		       4	        0	 14143
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    133		    128		     0		 14143
       1	    145		    511		     1		  2484
       2	    444		    663		     2		  1579
       3	    995		    275		     1		  2092
       4	    856		    138		     1		  1162
       5	    348		    788		     1		  2323
       6	    247		    671		     1		  2832
       7	    459		    512		     1		  2385
       8	    942		    817		     1		  2932
       9	    840		    549		     4		  2562
      10	    983		    981		     1		  2569
      11	    135		    204		     3		  2855
      12	    308		    554		     1		  1958
      13	    824		    484		     1		  1299
      14	    984		    353		     1		  2112
      15	    929		    592		     2		  2252
      16	    721		    235		     2		  1352
      17	    592		    803		     1		  1287
      18	    887		    868		     1		  2457
      19	    968		    128		     1		  1886
      20	    779		    467		     2		  1962
      21	    686		    277		     1		  2573
      22	     14		     83		     1		  2371
      23	    973		    896		     1		  3175
      24	    303		    430		     1		  1334
      25	    241		    147		     1		  2519
      26	    858		    674		     1		  2081
      27	     76		    202		     1		  1070
      28	    564		    902		     1		  1141
      29	    996		    217		     3		  1719
      30	    612		     33		     1		  2280
      31	    174		    200		     1		  1326
      32	    442		    346		     1		  2089
      33	    727		    469		     1		  2998
      34	    339		    907		     2		  1285
      35	    625		    698		     3		  1288
      36	    746		    339		     1		  2933
      37	    892		     16		     1		  1488
      38	    307		    159		     1		  2750
      39	      4		    997		     1		  1714
      40	     89		    460		     1		  2513
      41	    820		    691		     1		  1121
      42	    857		     54		     4		  2266
      43	    497		     34		     1		  2741
      44	    191		    846		     3		  1676
      45	     73		    588		     1		  2273
      46	     20		    309		     1		  1430
      47	    933		    317		     3		  1319
      48	    309		     89		     1		  1000
      49	    775		    172		     1		  1997
      50	    499		     24		     1		  2043
