INSTANCE:	X-n202-k67
VEHICLES:	67
CUSTOMERS:	202
TIME UB:	8418
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    940		    542		       4	        0	  8418
       1	    234		     56		       5	        0	  8418
       2	    680		    869		       4	        3	   683
       3	    936		     93		       5	        2	  1055
       4	    740		    695		       5	        0	  8418
       5	    712		     63		       5	        0	  8418
       6	    551		    479		       5	        1	    61
       7	    901		    109		       4	        1	  1085
       8	    699		    899		       4	        0	  8418
       9	    348		    132		       4	        1	   459
      10	    600		    727		       5	        0	  8418
      11	    862		    272		       5	        0	  8418
      12	    518		    758		       4	        2	   395
      13	    897		     75		       5	        0	  8418
      14	    112		    157		       5	        1	   865
      15	    480		    339		       5	        0	  8418
      16	    221		     23		       4	        0	  8418
      17	    868		    427		       5	        0	  8418
      18	    129		    532		       4	        0	  8418
      19	    193		    899		       5	        1	   517
      20	    850		     28		       5	        0	  8418
      21	    107		    556		       5	        2	   539
      22	    548		    667		       5	        0	  8418
      23	    487		    429		       5	        1	    78
      24	    504		    643		       4	        0	  8418
      25	    627		    789		       5	        0	  8418
      26	    334		    968		       5	        0	  8418
      27	    896		    100		       4	        1	   948
      28	    892		    181		       4	        0	  8418
      29	    390		    473		       5	        1	   115
      30	    381		    302		       4	        0	  8418
      31	    459		    575		       4	        0	  8418
      32	    394		    355		       4	        2	   211
      33	    524		    644		       5	        1	   292
      34	    535		    319		       5	        2	   245
      35	    153		     53		       4	        0	  8418
      36	    462		     38		       5	        1	   567
      37	     85		     69		       4	        1	   649
      38	    929		    175		       5	        0	  8418
      39	    980		    135		       4	        0	  8418
      40	    671		    336		       5	        0	  8418
      41	    790		    705		       4	        1	   569
      42	    535		    665		       4	        3	   181
      43	    864		     58		       4	        1	  1024
      44	    883		    597		       4	        1	   679
      45	    862		    849		       5	        1	   954
      46	    387		    142		       5	        0	  8418
      47	    887		    411		       5	        0	  8418
      48	    467		    579		       5	        0	  8418
      49	     93		     50		       5	        0	  8418
      50	    688		    101		       5	        1	   791
      51	    735		    752		       4	        0	  8418
      52	    104		    596		       4	        0	  8418
      53	    516		    409		       5	        0	  8418
      54	    945		    292		       4	        1	   681
      55	    155		    910		       5	        2	   910
      56	    487		    672		       5	        2	   196
      57	    731		    708		       5	        1	   380
      58	    703		    935		       4	        1	   804
      59	    524		     60		       5	        1	   586
      60	    511		    732		       5	        0	  8418
      61	    455		    499		       4	        0	  8418
      62	    910		    236		       5	        0	  8418
      63	    872		    794		       5	        1	   746
      64	    588		    720		       4	        0	  8418
      65	    236		    823		       5	        2	   684
      66	    274		    568		       4	        1	   435
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    500		    500		     0		  8418
       1	    643		    512		     2		   351
