INSTANCE:	A-n33-k10
VEHICLES:	10
CUSTOMERS:	33
TIME UB:	824
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     33		     42		       4	        1	    60
       1	     48		     53		       4	        0	   824
       2	      2		     28		       5	        0	   824
       3	     79		     92		       4	        0	   824
       4	     22		     73		       5	        3	    15
       5	     83		     27		       5	        2	    86
       6	     42		     88		       5	        0	   824
       7	     58		     78		       4	        0	   824
       8	     37		     44		       4	        0	   824
       9	     98		     77		       4	        0	   824
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     14		     68		     0		   824
       1	     73		      2		     1		   214
       2	     13		     47		     1		    66
       3	     34		     63		     2		    80
       4	     58		     98		     1		   212
       5	     18		     98		     2		    73
       6	     24		     79		     1		    48
       7	     17		     28		     2		    82
       8	     72		     67		     3		   136
       9	     78		     63		     3		   153
      10	     42		     48		     3		    98
      11	      1		      2		     2		   180
      12	     32		     82		     4		    80
      13	     97		     38		     4		   258
      14	     39		     53		     1		    78
      15	     87		      1		     1		   378
      16	     42		     77		     1		    94
      17	     22		     39		     2		   102
      18	     58		     32		     3		   199
      19	     53		     84		     1		   112
      20	     38		     37		     4		   148
      21	     63		     59		     1		   101
      22	     32		     88		     3		    70
      23	     38		     23		     2		   118
      24	     63		     32		     2		   122
      25	     88		     94		     1		   312
      26	     43		     62		     2		    65
      27	     73		      1		     3		   260
      28	     17		     32		     3		   131
      29	     87		     79		     3		   250
      30	     12		     24		     4		   164
      31	     48		     23		     1		   118
      32	      7		     37		     2		    96
      33	     34		     12		     1		   122
